,정류소명,Y좌표,X좌표
0,종로2가사거리,37.569808,126.987752
1,창경궁.서울대학교병원,37.5791830159,126.9965660023
2,명륜3가.성대입구,37.582581,126.998251
3,종로2가.삼일교,37.5685792736,126.9876130976
4,혜화동로터리.여운형활동터,37.586243,127.001744
5,서대문역사거리,37.566137,126.966893
6,서울역사박물관.경희궁앞,37.569135,126.97038
7,서울역사박물관.경희궁앞,37.569515,126.97076
8,광화문,37.570142,126.976357
9,광화문,37.570216807,126.978085488
10,종로1가,37.5701482455,126.9810660928
11,종로1가,37.570271,126.98163
12,종로2가,37.57017,126.984991
13,종로2가,37.570238,126.986536
14,종로3가.탑골공원,37.5702449756,126.9895646721
15,종로3가.탑골공원,37.5703605443,126.9899877751
16,종로4가.종묘,37.5705069968,126.9947218896
17,종로4가.종묘,37.5706271118,126.9952838124
18,종로5가.광장시장,37.570756793,126.9988498093
19,종로5가.광장시장,37.5708806279,126.9993346185
20,종로6가.동대문종합시장,37.5709220832,127.0047701151
21,종로6가.동대문종합시장,37.5711272339,127.0057137364
22,동대문역.흥인지문,37.572449,127.013813
23,동대문(흥인지문),37.572102,127.012453
24,동묘앞,37.5737786638,127.018408522
25,동묘앞,37.5742434484,127.0196720085
26,경기상고,37.5875502159,126.9693634554
27,신교동,37.5832955233,126.9702626865
28,경기상고,37.5871907861,126.9697701102
29,경복고교,37.58516,126.970884
30,청운중학교,37.5878519552,126.9725135095
31,자하문고개.윤동주문학관,37.5921866176,126.9671261805
32,자하문고개.윤동주문학관,37.5923353152,126.9671906625
33,청운중학교,37.5881285775,126.9724613198
34,경복고교,37.585067,126.971404
35,통인시장종로구보건소,37.5803257033,126.9710500404
36,통인시장종로구보건소,37.5805132118,126.9713851083
37,효자동,37.583091043,126.9706209712
38,사직단.어린이도서관,37.5751355316,126.9679907155
39,경복궁역1번출구,37.5761834563,126.9713244962
40,경복궁역,37.5768666917,126.97219601
41,경복궁역,37.5776713863,126.9722828893
42,경복궁,37.5755767894,126.9787471496
43,KT광화문지사,37.572209741,126.9774187393
44,국립고궁박물관,37.5787966341,126.974046284
45,광화문,37.569845398,126.9763838838
46,광화문.금호아시아나본관앞,37.570049149,126.9741676331
47,서울역사박물관.경교장.강북삼성병원,37.5697019128,126.9713910639
48,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248
49,광화문.금호아시아나본관앞,37.570332,126.972839
50,광화문,37.570365,126.975837
51,세종문화회관,37.5735900058,126.976857107
52,서울경찰청.경복궁역,37.5757446636,126.9714842989
53,사직단,37.5748553458,126.968188961
54,광화문.광화문빌딩,37.569495,126.976545
55,덕성여중고,37.5759017489,126.9820170203
56,안국역.서울공예박물관,37.5760695565,126.9839957858
57,국민은행세검정지점,37.6046629766,126.9608880061
58,세검정초등학교,37.6025022799,126.9612198463
