,정류소명,Y좌표,X좌표
12001,문현고등학교.송파파인타운5단지,37.480632,127.129475
12002,문현고등학교,37.4807091324,127.1292061629
12003,풍납현대아파트,37.5287587812,127.1193610526
12004,문정3차푸르지오아파트.송파파인타운1단지,37.4866738525,127.1335864078
12005,문정3차푸르지오아파트.송파파인타운1단지,37.4864839486,127.1333836546
12006,아이코리아앞,37.48096,127.13364
12007,가든파이브.웍스동,37.478215,127.121195
12008,가든파이브.웍스동,37.4782546079,127.1212593757
12009,위례31단지정문,37.4725899491,127.132278952
12010,장지역가든파이브라이프동,37.4791155553,127.124772665
12011,장지역가든파이브라이프동,37.4789275658,127.1249012174
12012,가든파이프툴동,37.4791477338,127.1193612432
12013,가든파이브툴동,37.4789426026,127.1190431911
12014,잠실대교전망쉼터,37.5201071463,127.0951336442
12015,잠실대교전망쉼터,37.519993,127.09479
12016,석촌호수서호사거리,37.506324,127.098408
12017,석촌호수서호사거리,37.5065890171,127.099235139
12018,미켈란호수가아파트,37.5076563193,127.1026500655
12019,미켈란호수가아파트,37.5081977473,127.1031124564
12020,호수임광아파트,37.5106263397,127.1067263617
12021,호수임광아파트,37.5113882396,127.1072025448
12022,송파파인타운아파트11단지,37.4786668849,127.1333663666
12023,송파파인타운아파트11단지,37.4787068369,127.1330973326
12024,문정중학교후문,37.4882821419,127.1305235717
12025,문정동래미안아파트남문,37.4888716798,127.1303278302
12026,파크데일아파트입구,37.4976209089,127.1546364429
12027,위례아이파크아파트앞,37.4758687793,127.1411478405
12028,송파더센트레.송례초앞,37.4785513432,127.1390128304
12029,송파더센트레.송례중앞,37.4782159275,127.1407082374
12030,송파꿈에그린아파트,37.4749448409,127.1407699426
12031,송파푸르지오시티.한화오벨리스크,37.4809129525,127.1197967562
12032,송파푸르지오시티.한화오벨리스크,37.480603694,127.1204716666
12033,파크데일아파트입구,37.4977775358,127.1547623047
12034,복정역,37.4700651629,127.1257548303
12035,복정역환승센터2번승강장,37.4699638279,127.1274771022
