,정류소명,Y좌표,X좌표
4001,방학동도깨비시장입구,37.6651579099,127.0366488472
4002,거성학마을아파트,37.6661972701,127.0381716917
4003,도봉새마을금고본점,37.667145875,127.0412481803
4004,창5동현대아파트,37.6560152868,127.0402847603
4005,창5동현대1차아파트,37.6560503446,127.0405307222
4006,창동아이파크,37.6614977323,127.0468345908
4007,창번교,37.6354839138,127.0384278157
4008,방학3동주민센터,37.6591681347,127.0279037943
4009,도봉동서광아파트,37.6781990171,127.0494617013
4010,정병원,37.661947,127.04192
4011,창동고등학교,37.6512951076,127.0385652526
4012,정의여중고입구,37.650980451,127.0332340435
4013,옛고을길입구,37.6508592467,127.031628105
4014,한국사회봉사회,37.6615430092,127.0150852363
4015,도깨비시장,37.6653285072,127.0356911077
4016,방학동도깨비시장,37.6652321384,127.0355369032
4017,태영데시앙아파트,37.642384365,127.0324449266
4018,창번교앞,37.6354686365,127.03822395
4019,금용아파트,37.637736706,127.0351770744
4020,창번2교앞,37.63859,127.034453
4021,대우아파트104동,37.6432566421,127.038349191
4022,도봉산입구,37.687222,127.040693
4023,도봉등기소,37.6514607242,127.0442205449
4024,도봉차고지,37.6904888042,127.0448741598
4025,샘말어린이공원,37.668748,127.031945
4026,안방학동,37.6690677721,127.0299513375
4027,주공4단지후문,37.6468600276,127.0482646101
4028,창1동대우그린아파트,37.6470481829,127.048679498
4029,상아아파트,37.6531642014,127.0430383546
4030,동아운수앞,37.658907,127.013997
4031,북한산아이파크,37.6589873738,127.0419241616
4032,북한산아이파크,37.6592656868,127.0422609458
4033,창동아이파크,37.660831639,127.0473272233
4034,창동아이파크,37.6610272451,127.0471471284
4035,창동.신창시장,37.6388467098,127.0384760994
4036,신창.창동시장,37.6390783287,127.0383504426
4037,창동역서측,37.6524856893,127.0454394755
4038,안방학동,37.6676604016,127.0329138828
4039,안방학동,37.667697,127.03311
4040,창동농협물류센터,37.6548949746,127.0500842135
4041,태영데시앙아파트,37.642758,127.031672
4042,방학중학교,37.6668576545,127.0325077203
4043,도봉산역광역환승센터,37.6896677799,127.0452569196
4044,도봉산역광역환승센터,37.6898762161,127.0444996062
4045,도봉산역광역환승센터,37.6899483575,127.0443522431
4046,도봉산역광역환승센터,37.690177,127.044267
4047,한국사회봉사회,37.6618138354,127.0147587067
4048,한국사회봉사회,37.662163,127.014675
4049,창동교,37.651439584,127.053129673
4050,창동교,37.6518133395,127.0535802841
4051,녹천교,37.6446012247,127.054438591
4052,녹천교,37.6450344811,127.0549535751
4053,창동역,37.6533690331,127.0492185591
4054,도봉여성센터,37.6628827003,127.0302537587
4055,한일병원,37.645868972,127.0284574972
4056,동익아파트,37.6506949897,127.0252305774
4057,꽃동네,37.6527572122,127.022498822
4058,법종사,37.6573958353,127.0180176318
4059,창동하나로마트,37.6548345868,127.0504072869
4060,신동아프라자,37.6612533186,127.0275248668
4061,한일병원입구,37.6445614593,127.0286428437
4062,용호약국,37.6499633172,127.025211064
4063,에덴약국,37.6514369621,127.0233665374
4064,청한빌라,37.6572646786,127.0151682419
4065,방학동신동아아파트,37.6600260286,127.0276173556
4066,사거리슈퍼,37.6497379178,127.0258093606
4067,쌍문1동현대아파트,37.6505864786,127.0226715612
4068,우이성당,37.6556688049,127.0156518671
4069,방학동성원아파트.방학3동주민센터,37.6586933171,127.0276882672
4070,쌍문역,37.6474064783,127.0342478396
4071,믿음주유소,37.6493746259,127.0265163993
4072,오복슈퍼,37.6495384245,127.0231778182
4073,함석헌기념관.정의여중고,37.6525912459,127.0373657316
4074,쌍문1동주민센터,37.6482095603,127.0263788608
4075,환승장.기숙사,37.6489176294,127.0229271728
4076,덕성여대후문.효문중고교앞,37.6526914381,127.0171019004
4077,창동아이파크,37.6612378102,127.0478602057
4078,둘리뮤지엄.극동대우이안아파트,37.6515755538,127.0282806118
4079,도봉구보건소앞,37.6573821506,127.0377806894
4080,쌍문초등학교,37.6476701439,127.0248567147
4081,쌍문1치안센터,37.6500958249,127.0202835758
4082,서울문화고등학교,37.6639198822,127.0467012265
4083,신일라이프아파트,37.6506912973,127.0294951701
4084,시립도봉노인종합복지관,37.6581010105,127.0355267033
4085,경기푸른미래관,37.6495936762,127.0216739733
4086,대상타운현대아파트,37.6657095236,127.0464439042
4087,연세한의원,37.6582556637,127.0346720844
4088,방학삼성래미안1단지아파트,37.6673955059,127.0462737888
4089,소피아호텔,37.651121436,127.0349113945
4090,쌍문동현대1차아파트,37.6580622671,127.0323860104
4091,도봉구청,37.6689858813,127.0463382564
4092,미래빌라,37.6481869597,127.0267063644
4093,도봉중학교.서원아파트,37.6718061105,127.0466948323
4094,도봉중학교.서원아파트,37.6712739361,127.0457717409
4095,창동한신아파트,37.6459961514,127.0347140807
4096,성원아파트,37.6579159925,127.0301168678
4097,세무서앞,37.6532890093,127.0509355099
4098,하나약국,37.6732378533,127.0468646417
4099,신도봉시장,37.6713138288,127.0427155534
4100,창동중앙약국,37.6461540013,127.0371449268
4101,선덕사거리.세그루학원입구,37.657803811,127.028285241
4102,창동역,37.6536565315,127.0490884146
4103,서울북부지방검찰청.한양수자인아파트,37.6746865772,127.0473813687
4104,오봉초등학교,37.6710237818,127.0398564343
4105,중앙폐차장,37.6461685574,127.0394918483
4106,방학3동주민센터,37.6584636075,127.0274082286
4107,청구아파트,37.6577150088,127.0265443002
4108,엘지전자,37.6508502983,127.0313946417
4109,서울북부지방검찰청.성우현대아파트,37.6761134866,127.0483538423
4110,시온슈퍼,37.6728138601,127.0409094029
4111,창성빌라,37.6441949149,127.040308972
4112,김수영문학관,37.6594246503,127.0251961284
4113,서울북부지방법원,37.677670178,127.0492414111
4114,부부슈퍼,37.6744514399,127.0425393678
4115,벽산아파트,37.6583226778,127.0249781408
4116,삼환.동아에코빌아파트,37.6803652566,127.0471276197
4117,삼거리슈퍼,37.675670191,127.0436465315
4118,대우아파트101동앞,37.6426336013,127.0367556283
4119,방학3동주민센터,37.6583221264,127.0274591801
4120,우이그린빌라입구,37.6574065081,127.0189130191
4121,믿음주유소,37.6493926166,127.0266535322
4122,쌍문초등학교,37.6477818599,127.0249417458
4123,창동고등학교,37.6512502397,127.0379917772
4124,도봉역,37.6809875292,127.0457799763
4125,성황당,37.6771875559,127.0437721274
4126,창2동주민센터·보건지소,37.642303,127.035864
4127,금호타운,37.6576773905,127.0293879937
4128,청한빌라,37.657655763,127.0150413805
4129,사거리슈퍼앞,37.6497982681,127.0259102437
4130,대우.삼성서비스센터,37.6832489143,127.0465784214
4131,도봉1동주민센터.럭키아파트,37.678620287,127.0437151494
4132,창2동건영아파트,37.6407674519,127.0337768025
4133,한양.현대아파트,37.6578065933,127.0315279122
4134,용호약국,37.6500858758,127.0251555744
4135,오복슈퍼,37.6496014864,127.0232469679
4136,도봉경찰서.창4동주민센터,37.6523110123,127.0516851003
4137,유원극동아파트,37.6827010175,127.0489114044
4138,도봉1파출소,37.6796566489,127.0433756365
4139,쌍문동한양아파트,37.657868485,127.0325684045
4140,거성학마을아파트,37.6662550301,127.0378894716
4141,쌍문1동현대아파트,37.6505188837,127.0227440715
